Drug,Count
tobramycin s trimethoprim sulfa s c diff toxin negative blood cultures no growth to date x imaging cxr impression no acute cardiopulmonary process cxr impression slight increase in the degree of patchy opacity,1
aspirin vomiting,1
prednisone gabapentin,1
baclofen oxybutynin,1
benadryl ativan solumedrol,1
vanco gent flagyl,1
indinavir ritonavir stavudine depression,1
duloxetine anemia,1
methadone htn,1
po bid quinine sulfate,1
iron protonix,1
tobramycin s trimethoprim sulfa s am sputum source expectorated final,1
gleevec toxicity,2
vancomycin cefepine,1
vitamin d units qsaturday,1
calcium chloride insulin and d albuterol,1
vancomycin pipercillin tazobactam levofloxacin,1
creatinines,1
gentamicin creatinine,1
zocor lisinopril metformin,1
glucose creatinine,1
lasix spironolactone anemia thrombocytopenia,1
hepatitis c alcoholic cirrhosis type diabetes,1
fondaparinux sodium,2
amlodipine isosorbide lisinopril metoprolol omeprazole simvastatin oxycodone,1
potassium chloride po,1
p coronary artery bypass surgery x past medical history,1
vancomycin levofloxacin flagyl fluconazole,1
penicillin vanco,1
potassium thgouth,2
levaquin primaxin vancomycin morphine,1
magensium oxide,1
t gi bleed gastrointestional bleed,1
vancomycin ceftazidime metronidazole,1
vancomycin ciprofloxicin,1
simvastatin albuterol sulfate,1
fluticasone salmeterol glipizide lisinopril,1
gabapentin omeprazole,1
aspartame,1
uptitrating nitro gtt o sat,1
nicardipine labetalol,1
br ppx heparin,1
qthurs cromolyn,1
vit k sc x,1
solumedrol dexamethasone,1
oxaliplatinum,3
prandial insulin u regular insulin w meals and,1
lisinopril labetalol amlodipine aspirin,2
po bid duoneb,1
po qam bisacodyl,1
aminoglycosides vanco,1
cephelexin,1
qod hydromorphone,1
sah anterior communicating artery aneurysm rupture obstructive hydrocephalus dvt fever,1
dilantin rash anemia,1
prednisone nausea and vomiting,1
dilantin s p loading currently on iv apparently not taking,1
po qam enalapril,1
fatty change focally prominent increased,1
vitamin d sig units once a,1
virorelbine,1
lasix fevers chills nightsweats headache diplopia paresthesias sore throat cough shortness of breath,1
ppx cipro acyclovir fluconazole bactrim,1
vitamins vitamin b complex otc tablet tablet s by mouth,2
benzocaine menthol,1
tobramycin s trimethoprim sulfa s cxr right pleural effusion,1
lasix calcitonin,1
cozaar losartan potassium,1
atenolol allopuerinol metolazone lasix,1
calcitonin u kg sc bid avodart dutasteride,1
aureus coag gentamicin,1
contin labetolol,1
contin lisinopril,1
contin nifedipine,1
contin asprin statin acute renal failure,1
po bid scopolamine,1
po tid bismuth subsalicylate,1
ceftazadime levaquin,1
remeron zyprexa,1
qd multivitamin qd artificial tears vitamin b mcg,1
vancomycin levofloxacin piperacillin tazobactam,1
protonix pod no acute events,1
carvedilol lisinopril bumetanide,1
simvastatin aspirin plavix garlic,1
lutein ranitidine,1
dexlansoprazole,1
diltiazem theophylline zantac synthroid mcg,1
htn mycobacterium,1
plavix protonix lipitor lisinopril lasix,1
"73300"",""518",1
annkle,1
strep beta streptococcus group a sparse growth reported by phone,2
tobramycin s trimethoprim sulfa s diagnostics imaging renal ultrasound no,2
acetaminophen overdose acute renal failure,1
ampicillin erythromycin levofloxacin,1
cholangitis klebsiella sepsis,1
cholangitis klebsiella enterococcus,1
36106,1
calcium hydrocodone,1
lithium seroquel melatonin,1
antibxs,1
simvastatin metoprolol lidoderm,1
cefepime imipenem,1
lovenox p boots,1
colace senna felodipine,1
metoprolol tartrate po bid shingles,1
temozolomide temodar,1
camphor menthol lotion sig one appl topical prn,1
acyclovir rocephin,1
procdure liver disease liver disease cirrhosis,1
lasix nadolol,1
sodium bicarb bun,1
citalopram ritalin,1
tube bismuth subsalicylate,1
levofloxacin keppra micafungin,1
ampho,2
vancomycin amphotericin metoprolol nifedipine protonix haldol,1
ethanol acetominophen aspirin,1
tylenol overdose tylenol,1
thiamine folate multivitamin supplements leukocytosis,1
acetominophen overdose suicide,1
cefpodoxime azithromycin atrial fibrillation,1
depakote anemia,1
rituximab dm,1
nafcillin toxicity,1
bacitracin oint,1
viii inhibitor acute blood loss anemia,1
vitamin b qd multivatin qd,1
hydrocortisone cream copd,1
cortisone cream qid bactrim,1
qod omeprazole,1
osmolal ammonia,1
lamictal lexapro klonopin,1
pda pericardium small pericardial,1
sirolimus prednisone,1
greens,1
glycerin suppositories portal vein thrombosis,1
bleed internal hemorrhoids,1
carboplatin taxol c d s p theraputic thoracentesis,1
carboplatin taxol c d,1
appetite slight,1
zoloft trazadone,1
metoprolol succ hydromorphone,1
aspirine,1
valsartan amlodipine,1
vancomcyin ceftriaxone piperacillin tazobactam,1
cefepime cardiac arrest,1
dexamethasone etoposide,2
dapsone posaconazole,1
phenergan compazine zofran reglan,1
steroids mtx rituximab,1
lactate cytoxan,1
promethazine codeine phenergan codeine,1
qhs urea carmol cream,1
hepatitis c ckd,1
bactrim flagyl,1
hepatitis c admit meld per report pt with hx of hepatic encephalopathy,1
po qam celexa,1
vancomycin nh,1
bisacodyl lactulose,1
carbidopa levodopa valproic acid gabapentin,1
qpm nystatin,1
aricept c diff colitis,1
metformin ambien,1
nexium zelnorm ibuprofen,1
albuterol sulfate neb ih q h,1
albuterol sulfate neb ih q h prn sob guaifenesin,1
"79902"",""486",2
atenolol amlodipine quinapril,1
moexipril hydrochlorothiazide,1
pyridoxine vitamin b mg tablet tablet s by mouth,1
p cornary artery bypas graft x s p redo coronary artery bypass graft x,1
amphotercin cefteraline,1
simvastatin qhs citalopram qhs allopurinol,1
heparin bleeding,3
po qmwf ferrous sulfate,1
vancomcyin ceftriaxone acyclovir,1
lumbar spine fatty liver,1
ergocalciferol vitamin d vitamin d unit capsule qmo,1
sucralfate psoriasis,1
ethanol acetmnp bnzodzp barbitr tricycl pm neg neg neg neg neg neg pm mumps virus antibody,1
mumps,2
famotidine angioedema,1
vit d level low,1
lisinopril hypertension acute renal failure,1
prednisone b l creatinine,1
calcitriol mcg po m w f cyclosporine neoral,1
lipitor prerenal atn acute renal failure,1
risperdone diabetes mellitus,1
risperdone pulmonary embolism,1
calcitriol mcg capsule sig po,1
itching camphor menthol cream,1
lactulose p hiv cd vl nd she was continued on,1
emtricitabine tenofovir raltegravir,1
qhs raltegravir isentress,1
sinemet dementia,1
respules,1
levodopa tid erythromycin,1
"2948"",""531",1
interferon alpha for,1
morphine haldol olanzapine ativan,1
lactulose lactate,1
hepatitis cirrhotic physiology,1
vitamin d deficiency vit d,1
vit d supplements,1
tarceva copd bronchiectasis,2
"51919"",""494",1
planquenil,1
glucose calc mag phos pt ptt inr alt ast ldh alk tbili fibrinogen,1
methotrexate prednisolone planquenil,1
bilirubin diarrhea,1
aminocaproic oral rinse,1
cylosporine,1
po tid azelaic acid dexamethasone,1
aerugin pseudomonas aeruginosa amikacin,1
humalog insulin sliding scale and standing nph kidney lesions,1
albuterol amlodipine,1
nortriptyline qhs oseltamavir,1
octreotide protonix erythromycin,1
dmfj,1
benadryl tylenol qhs,1
metoprolol niddm held oral hypoglycemics while in house continued riss but can restart oral hypoglycemics on,1
scabs,4
levofloxacin hydralizine,1
lisinopril amlodipine bradyarrhythmia,1
lisinopril glipizide,1
neosynephrine levophed sbt,1
meropenem hypotensive,1
erythromycin reglan lactulose docusate senna,1
recline,1
calcium gluconate lactulose,1
seafood benadryl,1
chocolate spironolactone,1
tobramycin s trimethoprim sulfa s pleural fluid cultures negative blood cultures pending no growth at,1
sodium chloride nasal spry nu tid prn sob or,1
thiamine selenium,1
phenylepiphrine,1
cinacalcet htn,1
nystatin powder nystatin triamcinolone cream simvastatin,1
vitamins calcium carbonate calcium citrate vitamin d docusate sodium,1
appetite of note this,1
amlodpipine,1
alcoholic hepatitis fatty liver,1
alcohol withdrawal brain calcifications,1
alcoholic hepatitis fatty liver alcohol,1
ceftriaxone ceftazidime,1
piperacillin tazo s tobramycin s trimethoprim sulfa s admission ecg nsr at bpm nl axis nl,1
vitamin e vitamine d atenolol,1
oral surgeon clindamycin,1
ferrous sulfate coumadin,1
enoughg,1
insulin regimen glargine,1
ribavirin b cell lymphoma,1
diltiazem fever atypical lymphocytes lymphocytic predominance on diff likely due to cap rll air bronchograms and aspiration pneumonia,1
insulin lispro humalog kwikpen unit ml insulin pen,1
morphine acetaminophen lorazepam dilaudid ceftriaxone ibuprofen acyclovir vancomycin,1
oxycodone oxycodone,2
glargine glyburine,1
calcium vitamin d lantus units qam novolog sliding scale prn,1
verapamil hydralazine,1
ezetimide,1
p coronary artery bypass grafts x lima,1
aspirin lactic acidosis,1
clonidine torsemide,1
doxazosin anemia,1
divalproex vitamin d cepacol sore throat,1
chest,1
lisinopril xanax,1
doxylamine,1
effexor,1
poly lymphs plt platelets on,1
moexipril naprosyn neurontin omeprazole vit,1
mirtazapine qhs donepezil,1
drinking etoh polysubstance abuse,1
lamivudine atazanavir ritonavir,1
raltegravir hcv and alcoholic cirrhosis,1
folate thiamine anemia,1
atazanavir raltegravir,1
zocor simvastatin,1
appetite of note patient was recently admitted,1
azithromyciin,1
statin amlodipine nitrate,1
ceftazidime enterococcus k cxr grossly improved,1
creatinine sodium potassium chloride,1
magnesium digoxin,1
digoxin nail dystrophy,1
s p cryo,1
glucose lactate na k cl tco iron caltibc,1
lisinopril amlodipine metoprolol levothyroxine,1
b klebsiella,1
luminal thrombus,1
po tid lactulose tbsp,1
albuterol atrovent dextrose amps nitro gtt,1
fluoroquinolone bactrim,1
boderline,1
hepatits,1
tobramycin s trimethoprim sulfa s am bronchoalveolar lavage gram stain final,1
thiamine folate multivitamin macrocytic anemia,1
neosynephrine hypothermia,1
po qam escitalopram,1
po qpm aspirin,1
po bid vit d u qd,1
diskus haldol,1
docusate senna bisacodyl protonix,1
lisinopril hypernatremia,1
lasix diuresis free water deficit was calculated and has received l d w administration upon reaching the medicine floor,1
potassium hypokalemia,1
toradol dilaudid,1
p coronary artery bypass graft x past medical history status post,1
niacin rash,1
statin plavix lisinopril,1
po qam glipizide,2
methadone oxycodone fentanyl,1
venlafaxine olanzapine,1
strep milleri proteus providencia b fragilis,1
atenolol ativan buspar,1
p coronary artery bypass x past medical history systolic heart failure s p mi cath,1
lisinopril valsartan clonidine,1
labetolol nicardipine,1
atropine prednisolone,1
eucerin lotion,1
po bid alphagam,1
augmentin diarrhea,1
calcium calcium,1
alcohol etoh abuse,1
qhs allergies haldol,1
alcohol withdrawal and dependence chronic pain,1
amyloid agiopathy,1
vitamin d u daily rocephin,1
vanco ceftriaxone gentamycin levofloxacin dexamethasone,1
vanco ceftriaxone gentamycin levofloxacin gent was d ced leaving the other abx on abx,1
opium loperamide,1
steroids polyps,1
steroid gastritis,1
azocytadine,1
propophol,1
flexeril oxycodone,1
blood sugars delerium,1
vancomycin cipro cipro,1
atenolol nephrolithiasis,1
qhs senna tabs po daily vitamin d,1
vitamin e zinc,1
protonix nitro glycerin sl,1
vitamin d calcium benzonatate,1
levofloxacin anemia microcytic,1
yellowish green emesis,1
steroids fludrocortisone,1
prednisone sirolimus,1
valsartan triamterene,1
flecainide fluvastatin,1
piperacillin tazo s s tobramycin s s trimethoprim sulfa s am urine culture source catheter final report urine culture final yeast organisms,1
pseudomonas klebsiella cipro,1
zoloft xanax toprol,1
amnio,1
levofloxacin s oxacillin s trimethoprim sulfa s inr wbc hct brief hospitalhospital course y o male with hx cholecystectomy eczema,1
lasix nitroglycerin oxygen,1
hydrocortisone creams,1
appetite drinking,1
nadolol lactulose protonix,1
po qd sildenafil,1
propranolol lipitor allopurinol timolol,1
neurontin aspirin,1
vitamin e over the counter,1
levocarnitine,1
tobramycin s trimethoprim sulfa r pm urine final report urine culture,1
atorvastatin parkinsons,1
bisacodyl urinary retention,1
torsemide valsartan,1
vvir,1
ferrous sulfate folate,1
milrinone dobutamine,1
potassium chloride meq tab sust rel particle crystal sig,1
solumedorol,1
atorvastatin omeprazole calcium carbonate,1
tolterodine tamsolusin,1
condroitin,1
vitamin d qwk,1
silver iron,1
atenolol isordil niacin,1
vitamin d toxicity,1
amoldipine,1
linezolid levo flagl,1
caltrate vit d,1
atropeine,1
vitamin d theophylline,1
lisinopril diovan amlodipine,1
po tid hysocyamine sulfate,1
tiotropium bromide mcg puff po,1
glycopyrollate,1
vit b cplx fa c,1
gemcitabine cisplatin cancer,1
cream clobetasol cream zofran,1
allipurinol,1
alcohol benzo abuse,1
calcium carbonate vitamin d docusate sodium,1
gpc strep,1
oxygen leukopenia thrombocytopenia anemia,1
beclomethasone inhaler mcg,1
hepatitis c cirrhosis alcohol abuse,1
folate spironolactone,1
hepatitis c cirrhosis etoh abuse upper,1
dilantin phosphenytoin,1
dilantin ativan valproic acid,1
qod tylenol,1
metoprolol hypertensive,1
metoprolol nausea,1
lansoprazole sl nausea,1
appetite stimulent,1
albuterol carotid stenosis,1
albuterol aspirin bisacodyl senna clonidine,1
megestrol qid metoprolol,1
sulfonamides nausea and vomiting nortriptyline rash ultram rash,1
mitoxantrone vincristine cyclophosphamide,1
octreotide midodrine lactulose leukocytosis,1
cipro b blocker,2
levaquin linezolid po vanco,1
gentamicin urine klebsiella pneumoniae,1
gentamicin escherichia,1
gentamicin c diff negative x blood cx,1
po qidachs levothyroxine,1
lactobacillus acidophilus tid doctor first name vite,1
vancomycin congestive heart failure,1
ipratropium bromide albuterol sulfate albuterol,1
lactulose cholecalciferol vitamin d unit unit number,1
docusate sodium lansoprazole,1
tegretol neurontin,1
lyrica pregabalin,1
acyclovir aspirin,1
acyclovir ampicillin vancomycin,1
ferrous sublate,1
integrilin gtts,1
"V4972"",""431",1
sucralafate qid,1
assessd,1
metoprolol succinate lisinopril,1
bd ultrafine pen,1
guar gum benefiber sugar free guar gum powder by mouth prn otc ibuprofen,1
coingestant,1
oxycodone anxiety,1
lactulose folate,1
calcitriol mcg capsule po x week mo we fr,1
valproate haldol,1
bradicardic,1
piperacillin tazo s tobramycin s trimethoprim sulfa r pm mrsa screen source nasal swab final report mrsa screen final positive,1
calcitrol allopurinol allergies,1
tobramycin s trimethoprim sulfa s brief hospitalhospital course yof with history of,1
dabigatran hypertrophic cardiomyopathy hypothyroidism,1
diltiazem hypothyroidism,1
po qsunday,1
colistin doripenem micafungin,1
micafungin voriconazole,1
doripenem vanco,1
colistin voriconazole,1
prednisone guaifenesin bactrim,1
vancomycin aztreonem levofloxacin flagyl,1
paroxetine osteoporosis,1
po qsaturday oxybutynin,1
metoprolol nitro integrillin,1
citalopram oxazepam,1
diovan vicodin,1
oxycodone benzodiazepine trazodone valsartan,1
cymbalta trazadone zolpidem neurontin,1
protonix ambien,1
penciclovir denavir cream,1
magnesium chloride mag,1
vanco anaphylaxis,1
levothyroxine neuropathy,1
dopamine dobutamine vasopressin,1
lexothyroxine,1
amiodarone fluticasone,1
fatty acids capsule sig one capsule po,2
vitamin e supplements one po,1
po bid potassium chloride meq s r po bid otc,1
vit d po daily mvi po daily vitamin e units po,1
thrive supplements postoperative sacral decubitus stage,1
qhs novolin r sliding scale,1
nystatin powder units gm,1
ceftriaxone gentamycin,1
piperacillin tazobactam tobramycin cefoxitin cefuroxime meropenem cefazolin,1
tetracycline ciprofloxacin,1
vitamin d po,1
po bid ampicillin,1
s p ifn,1
morphine valium,1
clonidine depression,1
alcohol withdrawal polysubstance abuse pseudoseizures depression hypertension,1
psllium seed scoop,1
metoprolol succinate qhs aspirin,1
puffs qid lansoprazole,1
amiodarone qod beclomethasone fexofenadine,1
folic acid formoterol fumarate levothyroxine,1
minocycline singulair protonix prednisone,1
vitamin k repletion type dm,1
bigemony,1
vitamin d ppx ppi bowel regimen,1
albuterol mdi prn bisacodyl,1
senna prn miconazole powder prn,1
pramoxine ointment prn tobramycin,1
lisinopril arrythmias,1
lactulose qpm,1
glucose lactate na k cl am urea n creat,1
calcium vitamin d fluconazole,1
po bid savella mg po bid percocet tab,1
lactulose miralax senna,1
contin amoxicillin clavulanic acid,1
aq beconase aq mcg sprays each nares,1
pvcs possible acute anterolateral myocardial infarction,1
benzo withdrawal patients,1
hnscc,1
etravirine raltegravir ritonavir hyperlipidemia statin,1
po tid nystatin,1
po qid thrush,1
ergocalciferol vitamin d unit tablet sig,1
"V153"",""112",1
amicar hepatic encephalopathy,1
pantoprazole octreotide gtts norethindrone ethin estradiol,1
thiamine folate cyanocobalamine,1
colchicine bactrim,1
nobumatone,1
d c ceftriaxone,1
qod folic acid,1
glucose na k pm hgb calchct pm freeca,1
alcohol withdrawal the vent,1
prozac trazadone neurontin,1
alcohol withdrawal gastro intestinal bleed mrsa pneumonia clostridium difficil,1
ace inhibitor tte,1
phenylephrine abciximab,1
lovenox leukocytosis,1
tid cholecalciferol vitamin d unit tablet,1
zoloft anxiety,1
mirapex nedium sinemet,1
fluticasone furoate,1
alcohol withdrawal etoh withdrawal patient was admitted to icu for active,1
alcohol intoxication,1
pravastatin diabetes,2
sodium bicarbonate ferrous sulfate,1
colchicine thyroid disease,1
lactate abscess,1
cefazolin aztreonam linezolid,1
lasix amps sodium bicarb amp d units insulin amp calcium chloride,1
intuba pm blood type art temp rates peep po pco,1
pantoprazole rantidine,1
vitamin b cyanocobalamin vitamin b mcg,1
vitamin d potassium gluconate,1
l ivf amio,1
sodium chloride pm urine color yellow appear clear sp last name un pm urine blood mod nitrite,1
vit d oxycontin,1
"V5331"",""038",1
sucralfate hyponatremia,1
ergocalciferol vitamin d vitamin d daily vicodin mg prn,1
prograf toxicity hyperkalemia,1
po kayexalate potassium,1
appetite a repeat tsh was checked on and found to,1
appetite lasix,1
prednisone tape ciprofloxacin,1
bisacodyl docusate omeprazole,1
qidachs sevelamer hcl,1
vit b b bone marrow biopsy,1
pza,2
levo strepto,1
levofloxacin ethambutol,1
vancomycin cough,1
mondays potassium chloride meq,1
ergocalciferol vitamin d vicodin x,1
amlodipine lasix carvedilol,1
calcium phosphate magnesium digoxin,1
vit b sc monthy flonase sprays mdi,1
vitamin k more ffp,1
plavix calcium acetate seroquel,1
metoprolol lisinopril amiodarone,1
metoprolol ppx,1
atrovent qid,1
bilirun,1
diltiazem mirtazapine qhs,1
po qday terazosin,1
po qday simvastatin,1
appetite fear of exacerbating vomiting reports night sweats,1
guafenesin,1
isosorbide levothyroxine lipitor lovenox,1
albuterol hydrocodone acetaminophen oxycodone dulcolax keflex vicodin discharge medicationsdischarge,1
magnesium thiamine,1
p coronary artery bypass graft x acute systolic congestive heart failure s p hemorrhoidectomy s p repair of anal sphincter s p cataract,1
ergocalciferol vitamin d vitamin d otc unit capsule capsule s by,1
aureus coag gentamicin s levofloxacin,1
levofloxacin ceftriaxone linezolid,1
pureed solids nectar thick liquids wife understands and accepts risk of aspiration,1
calcium carbonate calcium carbonate,1
carbidopa levodopa carbidopa levodopa,1
finasteride finasteride,1
multivitamin multivitamin,1
tamsulosin tamsulosin,1
tiotropium bromide tiotropium bromide,1
lisinopril qday,1
tacrolimus creatinine,1
lasix uptitrating,1
qweek clcium acetate,1
tylenol dulcolax calcium carbonate,1
oxygen trazadone,1
tobramycin s trimethoprim sulfa s discharge pm blood hct am blood glucose,1
folate thiamine multivitamin calcium,1
bupropion acamprosate naltrexone,1
trazodone simvastatin,1
phosphorus anemia,1
"311, 42789, 71943, 27650, 29420, 2809",1
folfox avastin,1
flagyl dexamethasone,1
meropenem metronidazole,1
senna syrup,1
prozac seroquel trazodone abilify,1
trazodone gabapentin baclofen abilify,1
baclofen gabapentin clonazepam abilify,1
po qday atrovent,2
po qid buproprion,1
clonazepam qid gabapentin,1
qhs wafarin,1
steroids tiotropium albuterol,1
propranolol thrombocytopenia,1
ampicillin aminoglycoside,1
aminoglycoside,1
spiriva triamterone,1
levothyroxine glipizide calcium vit d,1
glipizide htn,1
cholesterol diabetes mellitus pulmonary hypertension hypertension pulmonary fibrosis,1
albuterol singulair ipratropium,1
calcium carbonate vitamin d os cal d prescribed by other provider,1
benadryl famotidine epinephrine,1
tobramycin s trimethoprim sulfa s pm blood culture x no growth to date pm bronchoalveolar lavage gram stain final,1
sodium chloride tot prot prot crea tte the left atrium,1
acombination,1
levothyroxine stye,1
amiodarone diabetes,1
warfarin dvt,1
vitamin k l of saline protonix,1
qutiapine,1
calcitriol hypothyroid,1
warfarin lorazepam,1
appetite rectal pain,1
prozac valium,1
premetrexed carboplatin,1
colistin colistin,1
colistin hypotensive,1
po tid fludrocortisone,1
aspirin overdose c b metabolic acidosis,1
aspirin overdose of approximately pills with,1
vitamin e cod liver oil ocuvite b,1
hydrea hydrea,1
iron diahrrea,1
po mwf,1
zocor calcitriol remeron prednisone pepcid,1
metoprolol tartrate aspirin pravastatin,1
minocycline allergy,1
phenobarbitol coma,1
pentabarbitol,1
dilantin depakote topamax,1
vancomycin s blood cx blood culture,1
tobramycin s trimethoprim sulfa s peritoneal fluid,1
qpm androgel,1
calcium carbonate vit d mg u daily ferrous sulfate,1
metoprolol sotalol,1
lisinopril metoprolol sotalol,1
calcium phosphate magnesium cholest cardiac enzymes am ck cpk ck mb ctropnt am ck cpk am ck mb ctropnt pm ck cpk pm ck mb ctropnt other serum tests pm tsh pm free t am,1
vitamin k atrial fibrillation,1
furosemide hydralazine,1
d c metoprolol nifedipine,1
calcitriol folic acid,1
prograf headache,1
po bid isradipine,2
steroids htn steroids,1
amiodarone hyperlipidemia dm,1
docusate senna mirlalax and kayexalate cad,1
hydralazine carvedilol,1
isoniazid toxicity,1
hepatitis b antigen negative surface antibody,1
piperacillin tazo s tobramycin s trimethoprim sulfa s bal respiratory culture final organisms ml commensal respiratory flora staph aureus coag,1
isoniazid hepatoxicity,1
metoprolol tartrate atenolol,1
procrit k mwf,1
po bid posaconazole,1
sodium chloride potassium chloride po,1
statin toxicity,1
fluticasone guafenesin provigil,1
vanc levo cefepime blood and urine culture,1
dapsone fluconazole,1
telbuvidine,1
oxygen supplmentation,1
b fragilis blood cultures,1
nitroglycerin fentanyl,1
calcitriol mcg capsule qmowefr following dialysis,1
po bid clindamycin phosphate lotion,1
phentermine,1
qhs xalatan eyedrops,1
diovan amlodipine lisinopril anemia,1
vit d aggrenox,1
nitroprusside fenoldopam,1
ursodiol ciprofloxacin,1
creatinine pancreatitis,1
appetite pulmonary hypertension,1
miconazole nitrate powder appl topical tid,1
po qam cholecalciferol vitamin d units po,1
milrinone levophed epinephrine vasopressin,1
aspirin potassium chloride metoprolol simvastatin plavix,1
erthyromycin ointment,1
multivitamin calcium vitamin c potassium,1
po bid neomycin polymyxin hc otic susp,1
steroids trazadone,1
qhs azelastine,1
fluticasone salmeterol hydrocortisone cream,1
di optic nerve atrophy,1
"311, V5867"",""486",1
atenolol diovan,1
tylenol headaches,1
methylnaltrexone reglan,1
qod cclcium carbonate,1
potassium chloride meq p o q h colace mg p o b i d aspirin,3
unasyn tobra,1
meropenem vanc d c b c,1
qhs hydrocortisone,1
dibucaine cream prn balmex,1
vit d chronic dic,1
tylenol levofloxacin,1
vanco tachycardia,1
calcium vit d fosamax hctz,1
zeloda,1
herceptin navilbine,1
adriomycin cytoxan,1
amonts of thick yellow sputum,1
xanax protonix xeloda,1
qd metamucil meclizine nitro prn vicoden prn doctor first name discharge medicationsdischarge diagnosis coronary artery disease,1
vitamin c calcium carbonate vitamin d ginkgo,1
selenium vitamin e,1
carbamide peroxide drops,1
balmex cream,1
qod lactulose,1
p coronary artery bypass graft x pmh history of,1
ulcer lle s p left popliteal to post tibial artery bypass hypertension hypercholesterolemia,1
ursodiol htn,1
ursodiol ativan,1
57420,2
multivitamin b complex discharge medicationsdischarge diagnosis ascending,1
etravirine lamivudine sevelamer,1
folate ferrous sulfate k,1
temosolimide,1
benfotiamine,1
berberine,1
turmeric,1
curcumin,1
otcs alpha lipoic acid,1
calcium carbonate mag hydroxid mylanta,1
fatty acids vitamin e fish oil mg capsule one capsule s by mouth,1
sennosides senna laxative,1
levofloxacin s oxacillin s trimethoprim sulfa s blood cultures no growth urine cultures no growth ecg sinus rhythm tracing is,1
dopa dobuta captopril,1
alcohol alcoholism,1
vpa dilantin phenobarbitol,1
chol ldl calc cholest,1
meropenem imipenem nitrofurantoin,1
"V0981"",""434",1
glimerpiride,1
flaxseed,1
tobramycin s trimethoprim sulfa s bcx neg x ucx pending brief hospitalhospital course y o male with,1
lasix amiodarone,1
aspirin valsartan,1
amlodipine triamterene,1
caclium carbonate,1
po bid acetylcysteine,1
erythromycin opth ointment inch to left eyelip hospital,1
levophed cyclosporine,1
acyclovir cyclosporine folic acid ativan,1
ondansetron pantoprazole pentamidine,1
prochlorperazine compazine ursodiol multivitamin,1
neomycin polymyxin eardrops niacin,1
steroids diabetes,1
qpm hydrocortisone,3
lipitor labetolol,1
qpm fludrocortisone,1
vitamin d unit cap oral,1
nab,1
"30390"",""801",1
fluoxetine risperidone neurontin,1
cholesterol fluoxetine,1
sevarl,1
dm type ii home insulin continued chronic renal insuffiency,1
"2449"",""998",1
vit k on renal patient,1
detrol cipro vioxx,1
hepatitis c cirrhosis decompensated following,1
albumine,1
calcitriol mcg po every other,1
wellbutrin,1
atenolol lasix plavix protonix,1
cefepime tylenol,1
daptomycin erythema,1
penicillins naficillin,1
taxol anemia,1
vitamin d statin,1
lisinopril hypoxia,1
warfarin stroke,2
metolazone bicarb,1
humalog insulin sliding scale please titrate up sliding scale as needed patient should follow up,1
iron splenomegaly,1
acyclovir cyclosporine,2
iprotropium,1
qhs cyclosporine,2
fluticasone ipratropium albuterol,1
clonazepam fluoxetine,1
pres cva cerebritis sah small l parietal sah,1
stabilit,1
vancomycin hypercarbic respiratory failure copd,1
benadryl cholelithiasis,1
po bid nitrofurantoin,1
qhs solifenacin,1
qhs travodone,1
po bid coumadin,1
calcium vitamin d vitamin b benadryl,1
miconazole cream multivitamin,1
amph,1
benzo canna cocaine,1
troche qid tretinoin cream appl,1
tazarotene,1
qhs multivitamins,1
metoprolol lisinopril aspirin,1
bayada,1
iron tibc haptoglobin ferritin transferrin he,1
vitamin k coagulation,1
albuterol sulfate accuneb,1
risperidone risperdal,1
gib amio,1
qhs propoxyphene,1
qod flagyl,1
calcium magnesium creatinine,1
simethicone magnesium sulfate,1
serotonin chromogranin,1
atorvastatin osteoporosis,1
lactulose folate thiamine,1
"28522"",""198",1
glucose na k cl tco pm urine mucous many pm urine hyaline pm urine rbc wbc bacteria,1
neurontin nexium prednisone premarin,1
daptomycin leukopenia thrombocytopenia,1
vancomycin moxifloxacin tamiflu,1
vancomycin ceftriaxone azithromycin levofloxacin flagyl,1
disconjugate gaze mri of the head was performed which did not show lesions to explain symptoms,1
oxaliplatin leucovorin,1
na uric ac urine osmolal,1
piperacillin tazo s tobramycin s trimethoprim sulfa r blood cultures x pnd sputum gram stain pmns,1
nitroglycerin morphine oxygen lasix,1
maxitrol,1
albuterol ipratropium calcium carbonate,1
guaifenesin bacitracin,1
"cholesterol gout discharge,""41401",1
fenofibrate simvastatin,1
statin tenormin,1
atenolol ranitidine,1
levofloxacin metronidazole vancomycin,1
spiriva albuterol inhaler,1
neb qid lisinopril,1
atorvastatin leukocytosis,1
decadron vanco levo,1
levofloxacin flagyl ceftazidime,1
aspirin plavix metoprolol simvastatin,1
metoprolol bradycardia,1
amio then d ced per cardiology input echo showed normal ef with no wma patient remained cardiovascularly stable initially monitored on telemetry which was then d ced patient was started on low dose beta blockade,1
qd senna colace discharge medicationsdischarge,1
glucose urea n,1
flagyl anasarca,2
ammonia hypernatremia,1
nystatin powder tid,1
zofran metoprolol pravastatin ethacrynic acid dopamine,1
nesiritide lactulose,1
p occipital stroke,1
qhs potassium,1
divercula,1
vitamin d units po daily alpha lipoic acid isordil,1
qhs calcitriol mcg po thurs,1
p coroary artery bypass grafts postoperative acute,1
baeen,1
qod dulcolax,1
nadolol cirrhosis,1
vitamin k ffp and l fluids antibodies to rbc,1
quetiapine clonazepam,1
qhs pyridostigmine bromide,1
lidocaine ointment appl tp hs to neck and shoulders,1
ampicillin nitrofurantoin piperacillin,1
